<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QQQ;5;01.04.2025;9:35:00;467.3;468.46;466.51;467.01;53647
QQQ;5;01.04.2025;9:40:00;467;467.43;466.35;467.3;40020
QQQ;5;01.04.2025;9:45:00;467.38;468.19;466.83;467.81;35229
QQQ;5;01.04.2025;9:50:00;467.66;469.28;467.65;468.82;101928
QQQ;5;01.04.2025;9:55:00;468.96;469.11;468.04;468.09;33260
QQQ;5;01.04.2025;10:00:00;467.92;468.46;467.35;467.67;24326
QQQ;5;01.04.2025;10:05:00;467.79;468.29;466.51;467.07;73357
QQQ;5;01.04.2025;10:10:00;467.04;467.82;466.03;466.45;41538
QQQ;5;01.04.2025;10:15:00;466.66;466.78;465.15;465.37;37348
QQQ;5;01.04.2025;10:20:00;465.36;465.91;465.01;465.05;26050
QQQ;5;01.04.2025;10:25:00;465.11;466.36;464.43;466.25;46826
QQQ;5;01.04.2025;10:30:00;466.12;466.77;465.56;466.19;17964
QQQ;5;01.04.2025;10:35:00;466.15;466.98;466.03;466.64;13953
QQQ;5;01.04.2025;10:40:00;466.74;468.56;466.63;468.03;40547
QQQ;5;01.04.2025;10:45:00;467.94;469.29;467.73;468.81;34729
QQQ;5;01.04.2025;10:50:00;468.79;469.19;468.41;468.91;19234
QQQ;5;01.04.2025;10:55:00;469.09;470.01;468.94;469.98;32418
QQQ;5;01.04.2025;11:00:00;470.04;470.61;469.49;470.46;24663
QQQ;5;01.04.2025;11:05:00;470.51;471.03;470.25;470.74;23586
QQQ;5;01.04.2025;11:10:00;470.61;471.47;470.61;471.39;15581
QQQ;5;01.04.2025;11:15:00;471.33;472.2;470.82;472.2;24485
QQQ;5;01.04.2025;11:20:00;472.14;472.58;471.91;471.96;51414
QQQ;5;01.04.2025;11:25:00;471.87;472.64;471.48;472.59;39405
QQQ;5;01.04.2025;11:30:00;472.53;472.66;471.72;471.89;22447
QQQ;5;01.04.2025;11:35:00;471.75;471.91;471.31;471.69;10209
QQQ;5;01.04.2025;11:40:00;471.86;471.86;471.06;471.46;15352
QQQ;5;01.04.2025;11:45:00;471.52;472.02;470.92;471.94;21325
QQQ;5;01.04.2025;11:50:00;471.87;472.5;471.87;472.47;25015
QQQ;5;01.04.2025;11:55:00;472.52;472.72;471.63;471.82;32652
QQQ;5;01.04.2025;12:00:00;471.97;472.42;471.6;472.28;10958
QQQ;5;01.04.2025;12:05:00;472.4;472.94;471.97;472.68;30159
QQQ;5;01.04.2025;12:10:00;472.64;473;472.32;472.86;37669
QQQ;5;01.04.2025;12:15:00;472.905;473.14;472.5;472.78;29544
QQQ;5;01.04.2025;12:20:00;472.8;473.5;472.69;473.29;14937
QQQ;5;01.04.2025;12:25:00;473.31;473.57;472.42;472.72;40500
QQQ;5;01.04.2025;12:30:00;472.65;472.72;471.24;471.51;27140
QQQ;5;01.04.2025;12:35:00;471.6;471.85;470.9;471.31;25573
QQQ;5;01.04.2025;12:40:00;471.31;471.33;470.55;470.75;16688
QQQ;5;01.04.2025;12:45:00;470.65;470.96;470.09;470.35;13949
QQQ;5;01.04.2025;12:50:00;470.28;471.21;470.13;471.2;25024
QQQ;5;01.04.2025;12:55:00;471.06;472.43;471.06;472.06;23878
QQQ;5;01.04.2025;13:00:00;472.03;472.32;471.68;471.68;21056
QQQ;5;01.04.2025;13:05:00;471.69;472.14;471.55;471.8;13941
QQQ;5;01.04.2025;13:10:00;471.83;471.83;470.93;471.31;24498
QQQ;5;01.04.2025;13:15:00;471.17;471.76;470.95;471.72;10191
QQQ;5;01.04.2025;13:20:00;471.74;471.88;470.71;470.76;20299
QQQ;5;01.04.2025;13:25:00;470.79;471.09;470.67;470.86;14374
QQQ;5;01.04.2025;13:30:00;470.93;471.18;470.56;470.76;11669
QQQ;5;01.04.2025;13:35:00;470.68;471.32;470.54;470.61;17987
QQQ;5;01.04.2025;13:40:00;470.64;471.38;470.64;471.3;8903
QQQ;5;01.04.2025;13:45:00;471.47;471.86;470.7;470.76;20694
QQQ;5;01.04.2025;13:50:00;470.77;471.39;470.77;471.39;6773
QQQ;5;01.04.2025;13:55:00;471.34;471.68;470.81;470.81;22559
QQQ;5;01.04.2025;14:00:00;470.83;470.85;470.2;470.2;16525
QQQ;5;01.04.2025;14:05:00;470.39;470.39;468.67;468.89;34793
QQQ;5;01.04.2025;14:10:00;469.05;469.19;468.29;468.31;25546
QQQ;5;01.04.2025;14:15:00;468.36;468.95;468.06;468.79;39883
QQQ;5;01.04.2025;14:20:00;468.74;468.79;467.89;467.97;25960
QQQ;5;01.04.2025;14:25:00;468.19;468.23;467.405;467.405;15907
QQQ;5;01.04.2025;14:30:00;467.45;468.29;467.45;467.82;29535
QQQ;5;01.04.2025;14:35:00;467.82;468.42;467.72;468.05;6590
QQQ;5;01.04.2025;14:40:00;468.1;468.37;467.67;467.67;12175
QQQ;5;01.04.2025;14:45:00;467.91;468.52;467.91;468.52;13134
QQQ;5;01.04.2025;14:50:00;468.47;468.5;467.72;467.72;17393
