<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPY;5;01.04.2025;9:35:00;557.45;557.67;556.41;556.86;66753
SPY;5;01.04.2025;9:40:00;556.86;557.38;556.18;557.05;41772
SPY;5;01.04.2025;9:45:00;557.13;557.64;556.02;556.91;31149
SPY;5;01.04.2025;9:50:00;556.925;558.54;556.8;558.4;43723
SPY;5;01.04.2025;9:55:00;558.36;558.53;557.88;558.1;30878
SPY;5;01.04.2025;10:00:00;557.93;558.1;557.13;557.13;37753
SPY;5;01.04.2025;10:05:00;557.21;557.56;556.08;556.22;79358
SPY;5;01.04.2025;10:10:00;556.29;556.9;555.1;555.48;37491
SPY;5;01.04.2025;10:15:00;555.55;555.64;554.24;554.36;48537
SPY;5;01.04.2025;10:20:00;554.28;554.89;554.18;554.22;33294
SPY;5;01.04.2025;10:25:00;554.39;555.37;553.72;555.33;47313
SPY;5;01.04.2025;10:30:00;555.24;555.78;554.71;555.25;34868
SPY;5;01.04.2025;10:35:00;555.13;555.88;555.07;555.71;31585
SPY;5;01.04.2025;10:40:00;555.78;557.67;555.62;557.11;34783
SPY;5;01.04.2025;10:45:00;556.94;558.63;556.9;557.96;40391
SPY;5;01.04.2025;10:50:00;557.98;558.22;557.66;557.94;29619
SPY;5;01.04.2025;10:55:00;558.2;559.19;558.19;559.16;29801
SPY;5;01.04.2025;11:00:00;559.29;559.8;558.8;559.7;32657
SPY;5;01.04.2025;11:05:00;559.62;560.22;559.45;559.87;51743
SPY;5;01.04.2025;11:10:00;559.955;560.64;559.955;560.52;34968
SPY;5;01.04.2025;11:15:00;560.48;561.42;560.21;561.39;48493
SPY;5;01.04.2025;11:20:00;561.31;561.85;561.18;561.23;54436
SPY;5;01.04.2025;11:25:00;561.15;561.75;560.6;561.69;43012
SPY;5;01.04.2025;11:30:00;561.62;561.74;560.79;560.91;32767
SPY;5;01.04.2025;11:35:00;560.81;561.01;560.38;560.74;15404
